2024-10-19 10:43:33 - INFO - ep: 0/500, t: 37.697, train_loss: 17548.8300, batch_loss: 10261.3291, IC: 185.2367, EQ: 336.1412, BC_G: 8271.2432, BC_P: 1468.7081, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:44:09 - INFO - ep: 1/500, t: 35.892, train_loss: 9919.9614, batch_loss: 4648.1646, IC: 143.1620, EQ: 471.2034, BC_G: 3254.5994, BC_P: 779.1998, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:44:45 - INFO - ep: 2/500, t: 36.042, train_loss: 5954.2370, batch_loss: 10404.1387, IC: 303.4567, EQ: 568.3761, BC_G: 3704.6406, BC_P: 1482.8798, T_f: 0.1691, T_Pres: 3634.3562
2024-10-19 10:45:21 - INFO - ep: 3/500, t: 35.917, train_loss: 5465.2006, batch_loss: 8436.5098, IC: 246.5159, EQ: 659.6045, BC_G: 2613.9387, BC_P: 856.6343, T_f: 0.1062, T_Pres: 4140.4761
2024-10-19 10:45:56 - INFO - ep: 4/500, t: 35.617, train_loss: 5063.5061, batch_loss: 4264.5801, IC: 119.4398, EQ: 293.8041, BC_G: 2580.7869, BC_P: 1270.5491, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:46:32 - INFO - ep: 5/500, t: 35.364, train_loss: 5297.9613, batch_loss: 4641.7041, IC: 177.8988, EQ: 454.4390, BC_G: 2590.0017, BC_P: 319.6799, T_f: 0.0594, T_Pres: 2365.5950
2024-10-19 10:47:07 - INFO - ep: 6/500, t: 35.861, train_loss: 4330.8033, batch_loss: 4120.8535, IC: 110.4130, EQ: 236.4157, BC_G: 2778.1033, BC_P: 995.9215, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:47:43 - INFO - ep: 7/500, t: 35.610, train_loss: 4794.7914, batch_loss: 3147.1721, IC: 91.0436, EQ: 236.7902, BC_G: 2574.2161, BC_P: 245.1223, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:48:19 - INFO - ep: 8/500, t: 35.602, train_loss: 3666.4145, batch_loss: 2054.1780, IC: 98.7987, EQ: 207.7346, BC_G: 1205.2830, BC_P: 542.3618, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:48:54 - INFO - ep: 9/500, t: 35.700, train_loss: 3829.2102, batch_loss: 4607.5342, IC: 118.3754, EQ: 327.5456, BC_G: 2965.4783, BC_P: 1196.1346, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:49:30 - INFO - ep: 10/500, t: 35.714, train_loss: 3980.6602, batch_loss: 2770.6731, IC: 112.3929, EQ: 299.8147, BC_G: 1808.3646, BC_P: 550.1009, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:50:06 - INFO - ep: 11/500, t: 35.667, train_loss: 3412.4039, batch_loss: 2103.8853, IC: 102.9348, EQ: 371.6701, BC_G: 1331.5416, BC_P: 297.7387, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 10:50:41 - INFO - ep: 12/500, t: 35.366, train_loss: 3699.8583, batch_loss: 2965.5789, IC: 108.4931, EQ: 272.5183, BC_G: 1923.5840, BC_P: 660.9835, T_f: 0.0000, T_Pres: 0.0000
